generic_slug,public_slug,indications,indications_bn,side_effects,side_effects_bn,contraindications,precautions,patient_advice_bn,published
amlodipine,amlodipine,Hypertension and angina.,উচ্চ রক্তচাপ ও অ্যানজাইনা।,"Ankle swelling, flushing, headache, palpitations.","পায়ের গোড়ালি ফোলা, মুখ লাল হওয়া, মাথাব্যথা।",Cardiogenic shock; severe aortic stenosis.,Do not stop suddenly without advice.,প্রতিদিন একই সময়ে খান। নিজে থেকে বন্ধ করবেন না।,1
losartan,losartan,Hypertension; diabetic nephropathy; heart failure.,"উচ্চ রক্তচাপ, ডায়াবেটিসজনিত কিডনি রোগ।","Dizziness, high potassium, raised creatinine.","মাথা ঘোরা, রক্তে পটাশিয়াম বৃদ্ধি।",Pregnancy; bilateral renal artery stenosis.,Check potassium and creatinine after starting.,গর্ভবতী হলে বা হতে চাইলে চিকিৎসককে জানান।,1
enalapril,enalapril,[dev seed] Enalapril: indications as per the current national formulary.,[dev seed] ইনালাপ্রিল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Enalapril: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ইনালাপ্রিল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ইনালাপ্রিল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
bisoprolol,bisoprolol,[dev seed] Bisoprolol: indications as per the current national formulary.,[dev seed] বিসোপ্রোলল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Bisoprolol: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] বিসোপ্রোলল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] বিসোপ্রোলল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
atenolol,atenolol,[dev seed] Atenolol: indications as per the current national formulary.,[dev seed] অ্যাটেনোলল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Atenolol: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] অ্যাটেনোলল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] অ্যাটেনোলল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
frusemide,frusemide,[dev seed] Frusemide: indications as per the current national formulary.,[dev seed] ফ্রুসেমাইড: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Frusemide: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ফ্রুসেমাইড: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ফ্রুসেমাইড: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
spironolactone,spironolactone,[dev seed] Spironolactone: indications as per the current national formulary.,[dev seed] স্পাইরোনোল্যাকটন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Spironolactone: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] স্পাইরোনোল্যাকটন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] স্পাইরোনোল্যাকটন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
atorvastatin,atorvastatin,High cholesterol; cardiovascular risk reduction.,উচ্চ কোলেস্টেরল; হৃদরোগ প্রতিরোধ।,"Muscle pain, raised liver enzymes, headache.","পেশির ব্যথা, লিভার এনজাইম বৃদ্ধি।",Active liver disease; pregnancy and breastfeeding.,Report unexplained muscle pain or dark urine.,রাতে খান। পেশিতে ব্যথা হলে চিকিৎসককে জানান।,1
rosuvastatin,rosuvastatin,[dev seed] Rosuvastatin: indications as per the current national formulary.,[dev seed] রোসুভাস্টাটিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Rosuvastatin: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] রোসুভাস্টাটিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] রোসুভাস্টাটিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
clopidogrel,clopidogrel,[dev seed] Clopidogrel: indications as per the current national formulary.,[dev seed] ক্লোপিডোগ্রেল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Clopidogrel: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ক্লোপিডোগ্রেল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ক্লোপিডোগ্রেল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
warfarin,warfarin,[dev seed] Warfarin: indications as per the current national formulary.,[dev seed] ওয়ারফারিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Warfarin: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ওয়ারফারিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ওয়ারফারিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
levothyroxine,levothyroxine,[dev seed] Levothyroxine: indications as per the current national formulary.,[dev seed] লেভোথাইরক্সিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Levothyroxine: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] লেভোথাইরক্সিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] লেভোথাইরক্সিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
amitriptyline,amitriptyline,[dev seed] Amitriptyline: indications as per the current national formulary.,[dev seed] অ্যামিট্রিপটাইলিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Amitriptyline: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] অ্যামিট্রিপটাইলিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] অ্যামিট্রিপটাইলিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
sertraline,sertraline,[dev seed] Sertraline: indications as per the current national formulary.,[dev seed] সারট্রালিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Sertraline: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সারট্রালিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সারট্রালিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
clonazepam,clonazepam,[dev seed] Clonazepam: indications as per the current national formulary.,[dev seed] ক্লোনাজেপাম: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Clonazepam: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ক্লোনাজেপাম: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ক্লোনাজেপাম: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
diazepam,diazepam,[dev seed] Diazepam: indications as per the current national formulary.,[dev seed] ডায়াজেপাম: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Diazepam: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ডায়াজেপাম: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ডায়াজেপাম: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
allopurinol,allopurinol,[dev seed] Allopurinol: indications as per the current national formulary.,[dev seed] অ্যালোপিউরিনল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Allopurinol: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] অ্যালোপিউরিনল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] অ্যালোপিউরিনল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
oral-rehydration-salts,oral-rehydration-salts,[dev seed] Oral rehydration salts: indications as per the current national formulary.,[dev seed] ওরাল স্যালাইন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Oral rehydration salts: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ওরাল স্যালাইন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ওরাল স্যালাইন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
zinc-sulfate,zinc-sulfate,[dev seed] Zinc sulfate: indications as per the current national formulary.,[dev seed] জিংক সালফেট: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Zinc sulfate: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] জিংক সালফেট: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] জিংক সালফেট: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
calcium-carbonate-vitamin-d3,calcium-carbonate-vitamin-d3,[dev seed] Calcium carbonate + Vitamin D3: indications as per the current national formulary.,[dev seed] ক্যালসিয়াম কার্বোনেট + ভিটামিন ডি৩: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Calcium carbonate + Vitamin D3: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ক্যালসিয়াম কার্বোনেট + ভিটামিন ডি৩: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ক্যালসিয়াম কার্বোনেট + ভিটামিন ডি৩: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
ferrous-sulfate,ferrous-sulfate,[dev seed] Ferrous sulfate: indications as per the current national formulary.,[dev seed] ফেরাস সালফেট: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Ferrous sulfate: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ফেরাস সালফেট: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ফেরাস সালফেট: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
clavulanic-acid,clavulanic-acid,[dev seed] Clavulanic acid: indications as per the current national formulary.,[dev seed] ক্ল্যাভুল্যানিক অ্যাসিড: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Clavulanic acid: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ক্ল্যাভুল্যানিক অ্যাসিড: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ক্ল্যাভুল্যানিক অ্যাসিড: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
sulfamethoxazole,sulfamethoxazole,[dev seed] Sulfamethoxazole: indications as per the current national formulary.,[dev seed] সালফামেথক্সাজল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Sulfamethoxazole: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সালফামেথক্সাজল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সালফামেথক্সাজল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
trimethoprim,trimethoprim,[dev seed] Trimethoprim: indications as per the current national formulary.,[dev seed] ট্রাইমেথোপ্রিম: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Trimethoprim: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ট্রাইমেথোপ্রিম: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ট্রাইমেথোপ্রিম: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
salmeterol,salmeterol,[dev seed] Salmeterol: indications as per the current national formulary.,[dev seed] সালমেটেরল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Salmeterol: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] সালমেটেরল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] সালমেটেরল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
fluticasone,fluticasone,[dev seed] Fluticasone: indications as per the current national formulary.,[dev seed] ফ্লুটিকাসন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Fluticasone: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ফ্লুটিকাসন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ফ্লুটিকাসন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
calcium-carbonate,calcium-carbonate,[dev seed] Calcium carbonate: indications as per the current national formulary.,[dev seed] ক্যালসিয়াম কার্বোনেট: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Calcium carbonate: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ক্যালসিয়াম কার্বোনেট: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ক্যালসিয়াম কার্বোনেট: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
vitamin-d3,vitamin-d3,[dev seed] Vitamin D3: indications as per the current national formulary.,[dev seed] ভিটামিন ডি৩: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Vitamin D3: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ভিটামিন ডি৩: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ভিটামিন ডি৩: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
